time,NAME,LATITUDE,LONGITUDE,YEAR,MONTH,DAY,Nina_index,DEW_ave,TEMP_ave,RH_ave,DEW_max,TEMP_max,RH_max,sp_ave,tcc_ave,tp_sum,ws_ave,wd_ave
4/26/1990,TSN,10.818797,106.651856,1990,4,26,0.08,22.975,31.89375,60.9176888,24.1,38,83.66177262,100.8285598,0.34087213,0.000745879,1.97779453,105.8886482
4/27/1990,TSN,10.818797,106.651856,1990,4,27,0.08,22.00555556,31.85555556,57.11111217,23.3,37,80.16504132,100.8311898,0.697180272,0.001863101,2.872381112,100.4170477
4/28/1990,TSN,10.818797,106.651856,1990,4,28,0.08,23.26206897,31.33793103,63.70792606,24.4,36,83.66177262,100.7868438,0.348174769,0.001243799,2.918198563,92.01772507
4/29/1990,TSN,10.818797,106.651856,1990,4,29,0.08,22.97692308,30.45769231,66.6087889,24.2,37,88.6689178,100.6813135,0.43516732,0.000341461,2.865076068,87.68936091
4/30/1990,TSN,10.818797,106.651856,1990,4,30,0.08,22.34871795,31.17692308,61.38674712,24,37,88.74823581,100.6146425,0.694904111,0.000132277,2.996107084,110.290751
5/1/1990,TSN,10.818797,106.651856,1990,5,1,0.08,23.43421053,30.53947368,66.98224199,29,35,92.4018433,100.5788279,0.95747177,7.31E-05,2.995473191,108.2052386
5/2/1990,TSN,10.818797,106.651856,1990,5,2,0.08,23.75789474,30.61315789,68.61052999,25.3,36,88.82674227,100.617344,0.531932428,0.000460089,3.040012586,133.2391546
5/3/1990,TSN,10.818797,106.651856,1990,5,3,0.08,24.43076923,31.13589744,68.88320803,25.2,36,88.82674227,100.6079194,0.174568349,0.000428346,3.028128747,146.2357836
5/4/1990,TSN,10.818797,106.651856,1990,5,4,0.08,24.29142857,30.16,71.76289893,26,34.1,88.82674227,100.683604,0.54876999,0.00099799,2.001827586,175.3690439
5/5/1990,TSN,10.818797,106.651856,1990,5,5,0.08,23.87777778,30.54166667,69.01938876,25,37,83.77219417,100.8189585,0.402984561,0.002985524,0.943129806,93.70852427
5/6/1990,TSN,10.818797,106.651856,1990,5,6,0.08,23.09189189,30.61891892,66.01313996,25,36,83.77219417,100.8225152,0.263572242,0.000886019,2.168903547,99.76796242
5/7/1990,TSN,10.818797,106.651856,1990,5,7,0.08,24.02571429,31.4,66.02002217,25,36,80.75497709,100.7495335,0.404199952,0.000320144,2.54709665,123.1881092
5/8/1990,TSN,10.818797,106.651856,1990,5,8,0.08,24.35454545,30.80606061,69.30205518,25,35,83.66177262,100.6447792,0.846691348,0.004239372,2.522100434,135.3056158
5/9/1990,TSN,10.818797,106.651856,1990,5,9,0.08,24.11428571,30.49714286,69.52555412,25.2,35,83.66177262,100.5456906,0.93948428,0.006996963,2.545770956,159.8003002
5/10/1990,TSN,10.818797,106.651856,1990,5,10,0.08,23.95,30.41944444,69.64277056,26,35,88.90444795,100.5528075,0.887893468,0.001582661,1.586137656,120.3076617
5/11/1990,TSN,10.818797,106.651856,1990,5,11,0.08,24.22352941,30.02941176,71.82860983,25,34,83.77219417,100.5585833,0.864849586,0.002807322,1.044677441,140.5919578
5/12/1990,TSN,10.818797,106.651856,1990,5,12,0.08,24.16,30.68857143,69.07030593,25.1,36,83.66177262,100.4718254,0.346979475,0.000639518,1.292062911,166.8309798
5/13/1990,TSN,10.818797,106.651856,1990,5,13,0.08,24.38421053,29.77368421,73.95687965,26.2,34.2,94.22722497,100.5111569,0.816988597,0.000838673,1.024142252,216.6813676
5/14/1990,TSN,10.818797,106.651856,1990,5,14,0.08,24.6825,29.63,75.25518107,26,34,88.82674227,100.5980804,0.899589715,0.004748103,1.281323333,155.389782
5/15/1990,TSN,10.818797,106.651856,1990,5,15,0.08,24.2125,31.575,66.62750477,26.5,36,91.03941897,100.6175546,0.494916905,0.000823926,1.220373922,138.5206455
5/16/1990,TSN,10.818797,106.651856,1990,5,16,0.08,23.77142857,31.10857143,66.22595851,26,36,83.77219417,100.4971864,0.908360724,0.006778768,1.34158277,219.0463256
5/17/1990,TSN,10.818797,106.651856,1990,5,17,0.08,24.25277778,31.27777778,67.21365636,25,36,83.66177262,100.4202813,0.999701765,0.000412234,2.068293031,209.4390505
5/18/1990,TSN,10.818797,106.651856,1990,5,18,0.08,23.795,32.26,62.34734242,25.4,37,78.90112911,100.5509217,0.989942085,0.003713544,2.073624757,177.6917768
5/19/1990,TSN,10.818797,106.651856,1990,5,19,0.08,24.62941176,30.78529412,70.89428254,26,36,88.82674227,100.6524894,0.898971814,0.005167124,2.081614723,145.1761129
5/20/1990,TSN,10.818797,106.651856,1990,5,20,0.08,24.56333333,28.54666667,79.24756251,25.1,31,88.82674227,100.6722298,0.9780394,0.009363368,1.549258478,170.7565456
5/21/1990,TSN,10.818797,106.651856,1990,5,21,0.08,24.91470588,29.09117647,78.76606875,25.4,33.1,88.82674227,100.6285915,0.934167931,0.005243381,1.207103269,195.5253994
5/22/1990,TSN,10.818797,106.651856,1990,5,22,0.08,25.46756757,28.80540541,82.67221588,26.4,33,94.26865994,100.6493154,0.968984864,0.011953925,1.392532264,179.9718794
5/23/1990,TSN,10.818797,106.651856,1990,5,23,0.08,24.40526316,26.09736842,90.46708585,26,28,94.26865994,100.7550992,0.966330985,0.014002396,1.506598584,196.0934791
5/24/1990,TSN,10.818797,106.651856,1990,5,24,0.08,24.17567568,29.27297297,74.5512265,25,32.4,88.74823581,100.8336873,0.995086579,0.008113467,1.705433472,253.8274132
5/25/1990,TSN,10.818797,106.651856,1990,5,25,0.08,24.395,27.0725,85.91871662,25,31,94.22722497,100.8687527,0.995167892,0.016260371,1.757401961,215.1883649
5/26/1990,TSN,10.818797,106.651856,1990,5,26,0.08,23.97741935,26.41612903,86.98666636,25,32,100,100.8031119,0.98193828,0.011473709,2.477523208,234.991151
